text,source,category,sentiment_score,word_count,char_count,has_images,has_videos,readability_score,num_shares,num_comments,political_bias,fact_check_rating,is_satirical,trust_score,source_reputation,clickbait_score,plagiarism_score,label
0,11,1,0,1302,5070,0,0,66,47305,450,0,0,1,76,6,0,53,0
1111,10,5,0,322,2722,1,0,41,39804,530,1,1,1,1,5,0,28,0
2222,7,4,0,228,5904,0,1,30,45860,763,0,1,0,57,1,0,0,0
3333,2,4,0,155,825,1,0,75,34222,945,0,2,1,18,10,0,32,0
3445,3,5,0,962,1087,1,0,43,35934,433,2,1,0,95,6,0,77,1
3556,7,4,0,920,4022,0,0,42,13148,28,2,0,0,8,1,0,72,0
3667,4,0,0,651,5652,0,1,62,13627,665,0,1,0,1,10,0,97,0
3778,11,3,0,717,737,1,0,75,6035,323,0,2,1,79,5,0,75,1
3889,5,3,0,1093,4362,0,0,73,49000,881,0,2,1,96,7,0,39,0
1,7,0,0,1421,830,0,1,51,30508,782,0,0,1,88,3,0,99,1
112,10,0,0,247,7515,0,1,74,38623,260,2,1,1,15,4,0,80,0
223,2,1,0,819,4229,1,0,34,16170,101,2,0,0,49,1,0,74,1
334,9,5,0,651,1248,0,0,75,20653,223,0,2,0,51,1,0,33,1
445,10,1,0,968,4579,1,0,64,28822,146,1,2,1,63,1,0,49,0
556,12,3,0,691,2884,1,1,50,723,457,0,2,1,33,3,0,15,0
667,9,5,0,942,4992,0,0,66,22594,40,0,2,0,53,3,0,50,0
778,3,1,0,1002,3769,0,1,65,36827,207,1,1,0,1,6,0,59,1
889,0,0,0,1465,7819,1,1,59,21701,259,1,1,0,72,7,0,87,1
1000,1,1,0,359,6359,1,0,39,31184,749,0,2,1,71,1,0,12,0
1112,6,0,0,331,7365,1,1,40,35319,368,0,2,1,100,4,0,15,1
1223,2,1,0,323,2058,0,1,61,17496,1,1,1,0,23,1,0,89,0
1334,1,2,0,240,2522,0,0,55,42975,695,0,1,1,11,8,0,75,0
1445,10,2,0,600,4099,0,0,45,24413,73,1,2,0,94,10,0,17,1
1556,4,3,0,1273,2151,1,1,59,5790,871,0,1,0,57,10,0,60,1
1667,11,4,0,347,5824,0,0,40,47179,12,0,1,1,0,2,0,13,1
1778,4,4,0,143,6434,1,0,74,44909,599,2,1,1,57,1,0,83,1
1889,8,0,0,235,4905,1,0,71,25490,614,1,2,0,60,4,0,11,0
2000,12,2,0,1442,1599,1,1,68,6486,121,0,2,0,78,7,0,94,0
2111,11,1,0,1368,3990,1,1,78,41836,218,0,2,1,93,10,0,73,1
2223,7,3,0,713,3219,0,0,48,22300,316,0,2,0,80,3,0,46,1
2334,12,2,0,1135,646,0,0,36,3532,104,0,0,0,26,1,0,65,0
2445,7,5,0,997,5153,0,1,67,42739,4,1,0,1,30,3,0,42,0
2556,1,2,0,1230,1608,1,0,37,12517,117,2,2,0,48,2,0,16,0
2667,8,5,0,396,5890,0,0,35,7864,799,1,1,0,30,10,0,66,0
2778,12,5,0,389,6522,0,1,46,8540,529,2,2,0,51,8,0,14,0
2889,11,4,0,1109,1464,0,0,57,44906,342,1,1,1,39,9,0,85,0
3000,2,4,0,210,1222,0,0,57,33778,185,0,2,1,61,5,0,90,1
3111,2,5,0,1409,1849,1,1,69,3019,1000,0,1,1,26,4,0,59,1
3222,0,3,0,1206,2000,1,1,41,39661,884,0,0,1,14,10,0,91,1
3334,4,5,0,976,6619,0,1,71,18381,739,2,1,1,42,10,0,3,0
3346,7,0,0,319,3006,0,0,55,20603,100,2,2,0,3,3,0,99,0
3357,10,2,0,620,4326,1,0,33,39158,785,2,1,0,100,2,0,86,0
3368,5,0,0,141,5788,0,1,51,9006,59,1,0,1,6,4,0,37,1
3379,2,2,0,355,622,1,0,67,34585,89,2,1,1,79,10,0,19,1
3390,10,2,0,1284,5462,1,0,47,42765,120,2,1,1,74,1,0,88,0
3401,0,0,0,1424,4575,1,0,35,15093,390,2,1,1,92,9,0,26,0
3412,10,5,0,292,1830,1,0,78,16705,241,1,1,0,3,5,0,53,1
3423,12,3,0,616,4157,1,0,42,26734,535,0,1,0,90,6,0,8,1
3434,12,2,0,773,7286,1,1,77,48021,503,2,2,0,56,7,0,64,1
3446,5,1,0,416,2214,1,1,45,17393,191,2,2,0,46,10,0,45,1
3457,8,3,0,1481,911,0,1,57,13250,27,1,0,0,54,6,0,64,1
3468,7,1,0,441,1526,1,1,54,19780,179,1,1,0,47,2,0,81,1
3479,0,2,0,1415,2334,0,1,35,8712,178,1,2,1,28,3,0,51,1
3490,0,2,0,1348,2193,0,0,56,4345,289,1,1,1,9,4,0,73,1
