Income,Credit_Score,Loan_Amount,DTI_Ratio,Employment_Status,Approval
26556,581,8314,79,0,1
197392,389,111604,22,0,1
44561,523,34118,45,0,1
190363,729,118757,10,1,1
61853,732,19210,44,0,0
108236,404,50797,10,0,1
110165,570,61217,7,0,0
40656,600,21267,113,1,1
38233,346,8467,126,1,1
81024,403,19217,36,1,1
62638,679,14730,45,1,1
179680,475,65175,22,0,1
119471,576,91198,39,0,1
34663,534,27379,20,1,1
90186,367,42245,20,0,1
123712,769,35718,11,0,0
167159,569,113311,25,1,1
77493,441,33343,49,0,1
48743,456,11484,94,1,1
120864,690,62348,36,1,1
198332,417,141763,25,1,1
49242,600,11365,68,1,1
89045,812,67542,18,0,1
187496,819,53143,23,0,0
62349,843,40252,8,1,1
25105,414,11076,114,0,1
83143,380,48966,12,1,1
159645,428,87474,8,1,1
89483,840,56461,50,0,1
72730,619,45019,42,1,1
155679,762,33493,8,0,0
108627,321,73603,40,0,1
21885,372,2929,211,0,1
28234,638,17847,34,0,1
195368,797,142356,9,0,1
83700,784,25957,37,0,0
192748,741,112038,14,1,1
34200,400,14193,26,1,1
85183,496,59800,20,0,1
68100,585,17371,51,0,1
164264,400,86477,5,0,1
81965,470,32826,38,1,1
125130,360,50672,12,0,1
89521,765,56444,26,1,1
69780,603,4832,27,0,0
34985,351,16623,123,0,1
153124,382,9981,11,0,1
125847,422,33271,33,0,1
129897,835,35179,19,0,0
82570,571,9577,37,1,1
102883,374,61068,5,0,1
160937,518,35760,23,0,1
38033,550,10338,76,0,1
162401,609,106788,27,0,1
193903,406,70328,7,0,1
165024,459,37930,13,0,1
73371,570,33016,51,1,1
44195,733,3889,52,0,1
54293,568,29956,28,1,1
41482,402,14409,18,0,1
41482,402,14409,18,0,1
41482,402,14409,18,0,1
41482,402,14409,18,0,0
41482,402,14409,18,1,1
41482,402,14409,18,0,0
41482,402,14409,18,1,1
41482,402,14409,18,0,1
41482,402,14409,18,1,1
41482,402,14409,18,0,0
41482,402,14409,18,1,1
41482,402,14409,18,0,1
41482,402,14409,18,1,1
156293,501,57531,18,0,1
183356,621,33669,26,1,1
101077,718,53743,26,1,1
70289,730,25847,69,0,1
126450,300,38606,19,0,1
172039,629,116811,20,1,1
154001,784,87356,10,0,0
155122,643,108272,7,0,1
78888,503,2600,18,0,1
